Date,Open,High,Low,Close,Adj Close,Volume
1988-04-26,776.969971,776.969971,776.969971,776.969971,776.969971,0
1988-04-27,779.849976,779.849976,779.849976,779.849976,779.849976,0
1988-04-28,789.460022,789.460022,789.460022,789.460022,789.460022,0
1988-04-29,797.669983,797.669983,797.669983,797.669983,797.669983,0
1988-05-02,800.559998,800.559998,800.559998,800.559998,800.559998,0
1988-05-03,793.979980,793.979980,793.979980,793.979980,793.979980,0
1988-05-04,798.559998,798.559998,798.559998,798.559998,798.559998,0
1988-05-05,799.909973,799.909973,799.909973,799.909973,799.909973,0
1988-05-06,786.179993,786.179993,786.179993,786.179993,786.179993,0
1988-05-09,775.469971,775.469971,775.469971,775.469971,775.469971,0
1988-05-10,785.760010,785.760010,785.760010,785.760010,785.760010,0
1988-05-11,790.500000,790.500000,790.500000,790.500000,790.500000,0
1988-05-12,790.929993,790.929993,790.929993,790.929993,790.929993,0
1988-05-13,794.369995,794.369995,794.369995,794.369995,794.369995,0
1988-05-16,791.299988,791.299988,791.299988,791.299988,791.299988,0
1988-05-17,793.789978,793.789978,793.789978,793.789978,793.789978,0
1988-05-18,805.280029,805.280029,805.280029,805.280029,805.280029,0
1988-05-19,825.460022,825.460022,825.460022,825.460022,825.460022,0
1988-05-20,824.750000,824.750000,824.750000,824.750000,824.750000,0
1988-05-23,823.809998,823.809998,823.809998,823.809998,823.809998,0
1988-05-24,812.840027,812.840027,812.840027,812.840027,812.840027,0
1988-05-25,805.909973,805.909973,805.909973,805.909973,805.909973,0
1988-05-26,807.229980,807.229980,807.229980,807.229980,807.229980,0
1988-05-27,808.099976,808.099976,808.099976,808.099976,808.099976,0
1988-05-30,804.080017,804.080017,804.080017,804.080017,804.080017,0
1988-05-31,803.929993,803.929993,803.929993,803.929993,803.929993,0
1988-06-01,812.909973,812.909973,812.909973,812.909973,812.909973,0
1988-06-02,820.780029,820.780029,820.780029,820.780029,820.780029,0
1988-06-03,836.429993,836.429993,836.429993,836.429993,836.429993,0
1988-06-06,853.119995,853.119995,853.119995,853.119995,853.119995,0
1988-06-07,854.390015,854.390015,854.390015,854.390015,854.390015,0
1988-06-08,847.979980,847.979980,847.979980,847.979980,847.979980,0
1988-06-09,850.190002,850.190002,850.190002,850.190002,850.190002,0
1988-06-10,853.659973,853.659973,853.659973,853.659973,853.659973,0
1988-06-13,845.380005,845.380005,845.380005,845.380005,845.380005,0
1988-06-14,848.679993,848.679993,848.679993,848.679993,848.679993,0
1988-06-15,856.650024,856.650024,856.650024,856.650024,856.650024,0
1988-06-16,856.669983,856.669983,856.669983,856.669983,856.669983,0
1988-06-17,858.580017,858.580017,858.580017,858.580017,858.580017,0
1988-06-20,866.909973,866.909973,866.909973,866.909973,866.909973,0
1988-06-21,868.210022,868.210022,868.210022,868.210022,868.210022,0
1988-06-22,883.200012,883.200012,883.200012,883.200012,883.200012,0
1988-06-23,875.229980,875.229980,875.229980,875.229980,875.229980,0
1988-06-24,865.469971,865.469971,865.469971,865.469971,865.469971,0
1988-06-27,854.750000,854.750000,854.750000,854.750000,854.750000,0
1988-06-28,843.400024,843.400024,843.400024,843.400024,843.400024,0
1988-06-29,844.440002,844.440002,844.440002,844.440002,844.440002,0
1988-06-30,844.210022,844.210022,844.210022,844.210022,844.210022,0
1988-07-01,847.520020,847.520020,847.520020,847.520020,847.520020,0
1988-07-04,844.859985,844.859985,844.859985,844.859985,844.859985,0
1988-07-05,850.559998,850.559998,850.559998,850.559998,850.559998,0
1988-07-06,857.450012,857.450012,857.450012,857.450012,857.450012,0
1988-07-07,855.380005,855.380005,855.380005,855.380005,855.380005,0
1988-07-08,851.320007,851.320007,851.320007,851.320007,851.320007,0
1988-07-11,845.510010,845.510010,845.510010,845.510010,845.510010,0
1988-07-12,839.900024,839.900024,839.900024,839.900024,839.900024,0
1988-07-13,843.000000,843.000000,843.000000,843.000000,843.000000,0
1988-07-14,842.219971,842.219971,842.219971,842.219971,842.219971,0
1988-07-15,844.309998,844.309998,844.309998,844.309998,844.309998,0
1988-07-18,845.580017,845.580017,845.580017,845.580017,845.580017,0
